
2021-01-06 09:17:56 上午  ---  请求路径:/allSingers  远程的ip:127.0.0.1  端口:35420  请求状态码:200
2021-01-06 09:18:03 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:35429  请求状态码:200
2021-01-06 09:22:22 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:35821  请求状态码:200
2021-01-06 09:24:05 上午  ---  请求路径:/updateCoverUrl  远程的ip:0:0:0:0:0:0:0:1  端口:35899  请求状态码:200
2021-01-06 09:24:27 上午  ---  请求路径:/updateCoverUrl  远程的ip:0:0:0:0:0:0:0:1  端口:35899  请求状态码:200
2021-01-06 09:24:50 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:35942  请求状态码:200
2021-01-06 09:25:45 上午  ---  请求路径:/musics  远程的ip:0:0:0:0:0:0:0:1  端口:36050  请求状态码:200
2021-01-06 09:25:45 上午  ---  请求路径:/albums  远程的ip:127.0.0.1  端口:36053  请求状态码:200
2021-01-06 09:25:45 上午  ---  请求路径:/singers  远程的ip:127.0.0.1  端口:36055  请求状态码:200
2021-01-06 09:25:45 上午  ---  请求路径:/allSingers  远程的ip:127.0.0.1  端口:36067  请求状态码:200
2021-01-06 09:25:45 上午  ---  请求路径:/allAlbums  远程的ip:127.0.0.1  端口:36066  请求状态码:200
2021-01-06 09:25:51 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:36088  请求状态码:200
2021-01-06 09:26:06 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:36113  请求状态码:200
2021-01-06 09:27:25 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:36213  请求状态码:200
2021-01-06 09:28:30 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:36310  请求状态码:200
2021-01-06 09:28:51 上午  ---  请求路径:/musics  远程的ip:127.0.0.1  端口:36348  请求状态码:200
2021-01-06 09:28:51 上午  ---  请求路径:/singers  远程的ip:127.0.0.1  端口:36356  请求状态码:200
2021-01-06 09:28:51 上午  ---  请求路径:/allSingers  远程的ip:127.0.0.1  端口:36357  请求状态码:200
2021-01-06 09:28:51 上午  ---  请求路径:/allAlbums  远程的ip:127.0.0.1  端口:36355  请求状态码:200
2021-01-06 09:28:51 上午  ---  请求路径:/albums  远程的ip:127.0.0.1  端口:36354  请求状态码:200
2021-01-06 09:29:13 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:36408  请求状态码:200
2021-01-06 09:32:05 上午  ---  请求路径:/musics  远程的ip:127.0.0.1  端口:36672  请求状态码:200
2021-01-06 09:32:05 上午  ---  请求路径:/singers  远程的ip:127.0.0.1  端口:36675  请求状态码:200
2021-01-06 09:32:05 上午  ---  请求路径:/allSingers  远程的ip:127.0.0.1  端口:36676  请求状态码:200
2021-01-06 09:32:05 上午  ---  请求路径:/albums  远程的ip:127.0.0.1  端口:36679  请求状态码:200
2021-01-06 09:32:05 上午  ---  请求路径:/allAlbums  远程的ip:127.0.0.1  端口:36680  请求状态码:200
2021-01-06 09:34:55 上午  ---  请求路径:/musics  远程的ip:127.0.0.1  端口:36916  请求状态码:200
2021-01-06 09:34:56 上午  ---  请求路径:/albums  远程的ip:127.0.0.1  端口:36921  请求状态码:200
